Time,X(CH1),X(CH2),
Second,Volt,Volt,
1.2489258e+02,4.60000e+00,8.24000e+00,
1.2492188e+02,4.56000e+00,8.24000e+00,
1.2495117e+02,4.60000e+00,8.24000e+00,
1.2498047e+02,4.60000e+00,8.24000e+00,
1.2500977e+02,4.60000e+00,8.24000e+00,
1.2503906e+02,4.60000e+00,8.24000e+00,
1.2506836e+02,4.60000e+00,8.24000e+00,
1.2509766e+02,4.60000e+00,8.24000e+00,
1.2512695e+02,4.60000e+00,8.24000e+00,
1.2515625e+02,4.60000e+00,8.24000e+00,
1.2518555e+02,4.60000e+00,8.24000e+00,
1.2521484e+02,4.60000e+00,8.24000e+00,
1.2524414e+02,4.60000e+00,8.24000e+00,
1.2527344e+02,4.60000e+00,8.24000e+00,
1.2530273e+02,4.60000e+00,8.24000e+00,
1.2533203e+02,4.60000e+00,8.24000e+00,
1.2536133e+02,4.60000e+00,8.24000e+00,
1.2539063e+02,4.60000e+00,8.24000e+00,
1.2541992e+02,4.60000e+00,8.24000e+00,
1.2544922e+02,4.60000e+00,8.24000e+00,
1.2547852e+02,4.60000e+00,8.24000e+00,
1.2550781e+02,4.56000e+00,8.24000e+00,
1.2553711e+02,4.60000e+00,8.24000e+00,
1.2556641e+02,4.60000e+00,8.24000e+00,
1.2559570e+02,4.60000e+00,8.24000e+00,
1.2562500e+02,4.60000e+00,8.24000e+00,
1.2565430e+02,4.60000e+00,8.24000e+00,
1.2568359e+02,4.60000e+00,8.24000e+00,
1.2571289e+02,4.56000e+00,8.24000e+00,
1.2574219e+02,4.60000e+00,8.24000e+00,
1.2577148e+02,4.60000e+00,8.24000e+00,
1.2580078e+02,4.60000e+00,8.24000e+00,
1.2583008e+02,4.60000e+00,8.24000e+00,
1.2585938e+02,4.60000e+00,8.24000e+00,
1.2588867e+02,4.60000e+00,8.24000e+00,
1.2591797e+02,4.60000e+00,8.24000e+00,
1.2594727e+02,4.60000e+00,8.24000e+00,
1.2597656e+02,4.60000e+00,8.24000e+00,
1.2600586e+02,4.60000e+00,8.24000e+00,
1.2603516e+02,4.60000e+00,8.24000e+00,
1.2606445e+02,4.60000e+00,8.24000e+00,
1.2609375e+02,4.60000e+00,8.24000e+00,
1.2612305e+02,4.60000e+00,8.24000e+00,
1.2615234e+02,4.60000e+00,8.24000e+00,
1.2618164e+02,4.60000e+00,8.24000e+00,
1.2621094e+02,4.60000e+00,8.24000e+00,
1.2624023e+02,4.60000e+00,8.24000e+00,
1.2626953e+02,4.60000e+00,8.24000e+00,
1.2629883e+02,4.60000e+00,8.24000e+00,
1.2632813e+02,4.60000e+00,8.24000e+00,
1.2635742e+02,4.60000e+00,8.24000e+00,
1.2638672e+02,4.60000e+00,8.24000e+00,
